,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2020-04-01,113000625.04560685,113000723.26099229,113000797.83047114,113000855.38513207,113000900.63392188,113000616.65866749,113000716.09671769,113000792.09290867,113000851.04590656,113000897.58309507,113000608.79533121,113000709.16568336,113000786.32103929,113000846.43968673,113000894.06557046,113000601.44008869,113000702.52889992,113000780.6414238,113000841.74805602,113000890.30946271,113000594.55984892,113000696.20557593,113000775.11870697,113000837.07395166,113000886.45004496,113000588.11611006,113000690.19418252,113000769.7839754,113000832.4761011,113000882.56939241,113000582.070349,113000684.48306642,113000764.64966366,113000827.98748963,113000878.71787702,113000576.38631861,113000679.05596258,113000759.71772116,113000823.62572257,113000874.92638437,113000571.03090021,113000673.89490439,113000754.98423104,113000819.39905623,113000871.21353157,113000565.97427917,113000668.98176034,113000750.44208474,113000815.31001301,113000867.59007017,113000561.18981253,113000664.29902703,113000746.08255532,113000811.35760036,113000864.06164499,113000556.65376861,113000659.83021368,113000741.89623004,113000807.53869832,113000860.63056116,113000552.34502655,113000655.56000036,113000737.87356247,113000803.84893909,113000857.29693715,113000548.24477752,113000651.47427197,113000734.0051945,113000800.28326981,113000854.05946822,113000544.33624692,113000647.56008533,113000730.282138,113000796.83631401,113000850.91593821
1,2020-04-02,112999694.50631392,112999884.55011232,113000038.0943567,113000162.41536468,113000263.88031007,112999679.30351096,112999870.57334527,113000026.25013815,113000153.05440074,113000257.06516927,112999665.12047024,112999857.11293466,113000014.38074541,113000143.14772858,113000249.22535704,112999651.91527046,112999844.28009461,113000002.74548182,113000133.08925381,113000240.87484267,112999639.61619979,112999832.10408567,112999991.47363743,113000123.10019702,113000232.31720224,112999628.14385965,112999820.57432623,112999980.62456153,113000113.30495735,113000223.73542581,112999617.42067224,112999809.6614236,112999970.21915005,113000103.77181502,113000215.24074145,112999607.37472297,112999799.3279642,112999960.25701518,113000094.5357433,113000206.90039556,112999597.94100814,112999789.5341131,112999950.72613214,113000085.6116512,113000198.75406253,112999589.06150256,112999780.24049675,112999941.60837609,113000077.00229141,113000190.82384248,112999580.68471687,112999771.40963265,112999932.88274187,113000068.70308931,113000183.12051123,112999572.76506425,112999763.00657132,112999924.52722381,113000060.70514266,113000175.64751124,112999565.2621887,112999754.99911171,112999916.51990509,113000052.9971078,113000168.40354498,112999558.1403237,112999747.35778843,112999908.83957417,113000045.56639373,113000161.38428365,112999551.36770965,112999740.0557419,112999901.46605551,113000038.39991914,113000154.5835052
2,2020-04-03,112998635.83371831,112998898.96805522,112999121.07272322,112999307.40842883,112999463.94390981,112998615.81456599,112998879.6122259,112999103.98181343,112999293.44048926,112999453.4915401,112998597.19148374,112998861.02543269,112999086.8995574,112999278.69079295,112999441.48816699,112998579.89828621,112998843.35423808,112999070.19774628,112999263.74915913,112999428.72695453,112998563.83135419,112998826.63152339,112999054.05846965,112999248.94448614,112999415.67490438,112998548.87870558,112998810.8356811,112999038.56233256,112999234.45968594,112999402.61206888,112998534.93226442,112998795.91999398,112999023.73459107,112999220.39335816,112999389.7073819,112998521.89264044,112998781.82757924,112999009.57021946,112999206.79431975,112999377.06183593,112998509.67052153,112998768.49904916,112998996.04792383,112999193.6816082,112999364.73397875,112998498.18655652,112998755.8763839,112998983.13813293,112999181.05638991,112999352.75543006,112998487.3706076,112998743.90479374,112998970.80760466,112999168.90920286,112999341.14056332,112998477.16078754,112998732.53350368,112998959.02208444,112999157.22443251,112999329.89267214,112998467.50247443,112998721.71596244,112998947.74782073,112999145.98310801,112999319.00796384,112998458.3473888,112998711.40975045,112998936.95240128,112999135.1646579,112999308.47818017,112998449.65276544,112998701.57633905,112998926.60518278,112999124.74801132,112999298.29233372
3,2020-04-04,112997503.18946561,112997823.38160512,112998102.43273172,112998342.9615454,112998549.66696714,112997479.7923999,112997799.92698517,112998081.07516395,112998325.04659443,112998535.96352735,112997458.06391716,112997777.44675739,112998059.76740533,112998306.15935041,112998520.24700703,112997437.91883135,112997756.11235553,112998038.97173044,112998287.05802165,112998503.5619986,112997419.2295405,112997735.9574017,112998018.91158517,112998268.16313258,112998486.52200557,112997401.85995014,112997716.9501085,112997999.68316922,112998249.70658535,112998469.49345042,112997385.6796174,112997699.02906144,112997981.31369142,112998231.81164843,112998452.69604814,112997370.56912757,112997682.12131137,112997963.79293725,112998214.53770013,112998436.25998358,112997356.42153795,112997666.15157068,112997947.09085152,112998197.9061059,112998420.25966465,112997343.14209102,112997651.04680206,112997931.16751572,112998181.91558707,112998404.73424406,112997330.6472225,112997636.73837572,112997915.97886299,112998166.55153851,112998389.70040423,112997318.86334392,112997623.1629327,112997901.47994734,112998151.7917644,112998375.16048305,112997307.72561972,112997610.26256457,112997887.6267843,112998137.61004306,112998361.10772245,112997297.17683318,112997597.98464113,112997874.37734666,112998123.97835132,112998347.52970104,112997287.16637565,112997586.281469,112997861.69205804,112998110.86824772,112998334.41059965
4,2020-04-05,112996326.9046323,112996691.50157149,112997017.08171703,112997303.73262455,112997554.62333304,112996301.14711235,112996664.97070086,112996992.3403257,112997282.54490238,112997538.12373486,112996277.25128782,112996639.57402739,112996967.68861204,112997260.23386607,112997519.21906975,112996255.11804932,112996615.50068294,112996943.66002136,112997237.69761337,112997499.17135389,112996234.60252118,112996592.78391603,112996920.50991033,112997215.43221481,112997478.72032209,112996215.55136055,112996571.3834909,112996898.34591556,112997193.70947029,112997458.30638473,112996197.81818914,112996551.22629012,112996877.19592924,112997172.67229195,112997438.19237655,112996181.26936612,112996532.22675914,112996857.04486021,112997152.3880205,112997418.53293125,112996165.78545073,112996514.29723649,112996837.85505402,112997132.87922004,112997399.41542283,112996151.26078375,112996497.35306135,112996819.5778384,112997114.1419333,112997380.8848375,112996137.60231471,112996481.31493512,112996802.16010536,112997096.1567228,112997362.9592494,112996124.72819892,112996466.10983007,112996785.54805173,112997078.89544617,112997345.63963991,112996112.56640264,112996451.67113535,112996769.68926531,112997062.32545106,112997328.91622633,112996101.05341738,112996437.93841545,112996754.53383628,112997046.41217937,112997312.77259026,112996090.13311806,112996424.85698572,112996740.03489181,112997031.12077606,112997297.18839328
5,2020-04-06,112995118.09169444,112995518.15320306,112995882.24888515,112996208.26461615,112996497.88308564,112995090.63089001,112995489.2694612,112995854.80391194,112996184.36701249,112996478.9978048,112995065.17131571,112995461.64379516,112995827.48352972,112996159.22462285,112996457.37616345,112995041.6037871,112995435.47857313,112995800.87776488,112996133.85147853,112996434.46634178,112995019.77094106,112995410.80647705,112995775.26706882,112996108.80595255,112996411.11587922,112994999.50697014,112995387.58056983,112995750.76780532,112996084.39248462,112996387.82811382,112994980.65398222,112995365.71858679,112995727.40803684,112996060.76981868,112996364.90232596,112994963.06805874,112995345.12517476,112995705.16844974,112996038.01146978,112996342.51361097,112994946.62073016,112995325.70308326,112995684.00504245,112996016.14061363,112996320.76000342,112994931.19846195,112995307.35866243,112995663.86191969,112995995.15073977,112996299.69108635,112994916.70135091,112995290.00437589,112995644.67856114,112995975.01811972,112996279.32577439,112994903.04158811,112995273.55973946,112995626.39393237,112995955.70944007,112996259.663582,112994890.14193997,112995257.95143813,112995608.94876148,112995937.18651427,112996240.69187365,112994877.93435274,112995243.11302857,112995592.28673784,112995919.40919667,112996222.3905835,112994866.35871615,112995228.98444927,112995576.35507552,112995902.33717342,112996204.73531182
6,2020-04-07,112993887.03454022,112994315.44342633,112994711.43297075,112995070.9596735,112995394.32668833,112993858.36328037,112994284.77005766,112994681.8385091,112995044.83333537,112995373.4242737,112993831.79276963,112994255.44991952,112994652.39811027,112995017.36445141,112995349.50740042,112993807.20661326,112994227.69529964,112994623.7466336,112994989.66246141,112995324.18206874,112993784.43852754,112994201.53830537,112994596.18426315,112994962.33682643,112995298.3870283,112993763.31380624,112994176.9267768,112994569.83407596,112994935.71859188,112995272.67869006,112993743.66633998,112994153.77138643,112994544.72406292,112994909.97926213,112995247.3869248,112993725.34487662,112994131.96924172,112994520.83137316,112994885.19717947,112995222.70387056,112993708.2145052,112994111.41572836,112994498.10680611,112994861.39579496,112995198.73631646,112993692.15607332,112994092.0103025,112994476.48859656,112994838.56629819,112995175.53748813,112993677.06478994,112994073.65911603,112994455.91022559,112994816.68125896,112995153.1267891,112993662.8485924,112994056.27597617,112994436.30482295,112994795.70296387,112995131.50229631,112993649.42653884,112994039.78243852,112994417.60759178,112994775.58855037,112995110.64878933,112993636.72733442,112994024.10746579,112994399.7570743,112994756.29317255,112995090.542968,112993624.68802734,112994009.18688685,112994382.69573571,112994737.77193898,112995071.15686908
7,2020-04-08,112992641.44704717,112993092.47041367,112993514.85215686,112993902.84570259,112994255.5019548,112992611.93447392,112993060.44919434,112993483.56048496,112993874.89886901,112994232.90718733,112992584.5918763,112993029.85328187,112993452.44707128,112993845.53092471,112994207.06594336,112992559.29784903,112993000.90237369,112993422.18209362,112993815.92927566,112994179.71689776,112992535.87990628,112992973.62808415,112993393.08119969,112993786.74501976,112994151.87535949,112992514.15715334,112992947.9742664,112993365.2726465,112993758.33079025,112994124.14217754,112992493.95776542,112992923.84622839,112993338.78425765,112993730.8683575,112994096.87273982,112992475.12538876,112992901.13536184,112993313.59029274,112993704.43985601,112994070.27331455,112992457.52063097,112992879.73147556,112993289.63736428,112993679.06882514,112994044.45786737,112992441.02043083,112992859.52880836,112993266.85900371,112993654.7444559,112994019.48252189,112992425.51659614,112992840.42873786,112993245.1838992,112993631.43619128,112993995.36694852,112992410.91410412,112992822.34075502,112993224.5405259,112993609.10263595,112993972.10789119,112992397.1294322,112992805.18253842,112993204.85968621,112993587.69703369,112993949.68784958,112992384.0890299,112992788.87957951,112993186.07582676,112993567.17063686,112993928.0807138,112992371.72796771,112992773.36460267,112993168.12763737,112993547.4747627,112993907.25544782
8,2020-04-09,112991385.99247223,112991855.08482914,112992299.38538611,112992711.61428674,112993089.69563705,112991355.90539362,112991822.05318059,112992266.7563224,112992682.18374133,112993065.68559517,112991328.03538468,112991790.50087401,112992234.32491603,112992651.26870516,112993038.23581126,112991302.25766642,112991760.65316793,112992202.78914586,112992620.1201411,112993009.19606556,112991278.39555536,112991732.54131216,112992172.4768025,112992589.4230317,112992979.64570878,112991256.26395947,112991706.10617447,112992143.52018169,112992559.54752947,112992950.22269666,112991235.68717247,112991681.24904364,112992115.94693579,112992530.68369119,112992921.30366708,112991216.50537297,112991657.85702789,112992089.7290133,112992502.91666539,112992893.10660438,112991198.57612021,112991635.815756,112992064.80969863,112992476.2699943,112992865.75137585,112991181.77369255,112991615.01555559,112992041.1187931,112992450.73117986,112992839.29643531,112991165.98758169,112991595.354225,112992018.5811882,112992426.26706506,112992813.76159227,112991151.1207482,112991576.73801884,112991997.12167503,112992402.83321013,112992789.14240164,112991137.08791073,112991559.08170861,112991976.66757482,112992380.3796487,112992765.41939181,112991123.8139808,112991542.30818255,112991957.15009594,112992358.85442245,112992742.56404741,112991111.23268022,112991526.34783682,112991938.50494416,112992338.20573299,112992720.54271486
9,2020-04-10,112990121.22374573,112990604.94041501,112991067.72338091,112991500.84568003,112991901.2065673,112990090.73854513,112990571.13744675,112991034.02424456,112991470.19182332,112991876.0031094,112990062.50299235,112990538.85485306,112991000.53814736,112991438.0013157,112991847.19722392,112990036.39000608,112990508.32219088,112990967.98532847,112991405.57752155,112991816.73243263,112990012.22001828,112990479.57047907,112990936.70331612,112991373.63335148,112991785.74209103,112989989.80504426,112990452.53834543,112990906.82765944,112991342.55339004,112991754.89542046,112989968.96669792,112990427.12404115,112990878.38589376,112991312.53451374,112991724.58694181,112989949.54276052,112990403.21142808,112990851.34813558,112991283.66434488,112991695.04447985,112989931.38868174,112990380.68296172,112990825.65502076,112991255.96641855,112991666.39284036,112989914.37689725,112990359.4259972,112990801.23337783,112991229.42683598,112991638.69240728,112989898.39529338,112990339.33561012,112990778.00507002,112991204.01028995,112991611.96307652,112989883.34543212,112990320.31559151,112990755.89194828,112991179.6698252,112991586.19937342,112989869.14081155,112990302.27849843,112990734.8185546,112991156.35282432,112991561.38014115,112989855.70527555,112990285.14523518,112990714.71351099,112991134.00467831,112991537.47481619,112989842.97160913,112990268.84442264,112990695.51013938,112991112.57101718,112991514.4475212
